Source Target Review Time
1 10107 0 1030831200
1 10108 1 1030831200
1 10109 0 1030831200
2 10107 0 1032645600
3 10110 0 1034892000
3 10110 0 1037138400
4 10111 0 1039903200
5 10112 0 1041285600
6 10113 1 1041544800
6 10114 1 1041717600
7 10111 1 1045346400
8 10115 -1 1045605600
6 10116 -1 1045692000
9 10117 1 1046296800
10 10117 0 1046296800
9 10118 1 1046296800
11 10119 1 1046728800
12 10120 0 1046815200
13 10121 0 1047420000
14 10116 -1 1047506400
15 10117 1 1047592800
16 10117 1 1048456800
17 10122 0 1048629600
8 10118 -1 1048716000
6 10107 0 1049493600
18 10118 0 1049580000
19 10107 0 1050098400
20 10123 1 1050616800
15 10117 1 1051394400
21 10124 0 1051826400
22 10125 0 1051912800
23 10126 1 1051912800
24 10107 0 1051999200
19 10127 0 1052431200
25 10107 0 1052604000
25 10116 -1 1052604000
22 10128 1 1052604000
23 10126 1 1053208800
16 10129 -1 1053208800
26 10130 0 1053554400
24 10130 0 1053986400
27 10123 1 1054245600
28 10120 -1 1054677600
29 10118 1 1054677600
30 10127 0 1054764000
31 10126 1 1055282400
32 10107 0 1055368800
25 10122 0 1056232800
27 10118 0 1056492000
33 10131 -1 1056492000
31 10131 0 1056578400
34 10128 1 1056578400
35 10132 0 1056578400
36 10133 0 1056664800
37 10134 0 1056751200
38 10135 1 1056837600
39 10128 1 1056837600
40 10136 1 1057096800
41 10133 1 1057269600
42 10137 -1 1057442400
43 10138 1 1057442400
31 10139 -1 1057528800
44 10140 0 1057788000
45 10134 0 1057874400
46 10141 1 1058047200
46 10136 1 1058047200
47 10142 0 1058047200
47 10143 0 1058133600
48 10143 0 1058220000
34 10129 1 1058306400
49 10144 -1 1058306400
50 10141 1 1058479200
51 10145 0 1058479200
52 10129 0 1058479200
34 10118 1 1058652000
53 10131 -1 1058652000
54 10111 0 1058652000
55 10135 1 1058738400
56 10137 0 1058738400
48 10143 1 1058824800
34 10118 1 1058911200
57 10146 0 1058997600
58 10107 1 1059084000
1 10118 0 1059084000
1 10129 1 1059084000
59 10147 1 1059084000
60 10111 0 1059170400
40 10136 0 1059256800
59 10148 1 1059343200
61 10149 0 1059516000
27 10123 1 1059516000
61 10150 1 1059602400
62 10151 1 1059688800
63 10118 1 1059688800
64 10121 0 1059688800
65 10123 1 1059688800
66 10152 1 1059688800
27 10129 1 1059775200
66 10152 1 1059775200
31 10153 1 1059861600
67 10149 0 1059948000
22 10150 1 1059948000
68 10154 1 1060120800
69 10155 0 1060120800
1 10156 0 1060207200
70 10155 1 1060207200
71 10157 0 1060207200
72 10118 1 1060207200
72 10158 0 1060207200
73 10129 1 1060207200
72 10150 0 1060207200
40 10150 1 1060207200
63 10153 1 1060293600
74 10135 0 1060293600
72 10136 0 1060293600
75 10159 0 1060380000
72 10115 0 1060380000
76 10128 1 1060380000
72 10136 0 1060380000
77 10136 0 1060380000
78 10160 0 1060466400
31 10161 0 1060639200
79 10162 0 1060725600
79 10163 0 1060725600
80 10117 1 1060812000
81 10121 0 1060812000
72 10135 1 1060898400
72 10164 0 1061071200
48 10127 0 1061244000
9 10117 1 1061330400
82 10130 0 1061330400
83 10165 0 1061416800
38 10135 1 1061416800
84 10166 0 1061503200
85 10167 0 1061589600
72 10166 1 1061589600
49 10166 0 1061589600
86 10168 0 1061589600
87 10107 0 1061676000
85 10107 0 1061676000
85 10113 1 1061676000
88 10128 1 1061762400
89 10169 0 1061848800
72 10147 1 1061935200
89 10170 0 1061935200
90 10118 1 1062021600
91 10127 1 1062021600
32 10113 0 1062021600
38 10171 1 1062021600
92 10170 0 1062021600
93 10141 0 1062108000
94 10128 1 1062108000
95 10141 0 1062194400
31 10128 0 1062194400
58 10107 1 1062280800
96 10113 1 1062280800
97 10113 1 1062280800
97 10140 0 1062280800
98 10108 1 1062367200
99 10167 0 1062453600
92 10116 0 1062453600
100 10172 1 1062540000
101 10113 1 1062540000
102 10133 0 1062540000
103 10173 1 1062540000
72 10147 1 1062540000
83 10165 0 1062626400
104 10108 1 1062626400
27 10123 1 1062626400
91 10123 1 1062626400
98 10147 1 1062626400
105 10165 0 1062712800
92 10174 0 1062712800
106 10175 1 1062712800
103 10127 1 1062712800
107 10172 1 1062799200
108 10174 0 1062799200
109 10174 0 1062799200
110 10176 0 1062799200
111 10117 1 1062799200
112 10123 1 1062799200
113 10107 0 1063404000
114 10107 0 1063404000
101 10169 1 1063404000
115 10128 1 1063404000
116 10150 0 1063490400
117 10130 -1 1063576800
118 10177 0 1063663200
33 10129 0 1063663200
119 10154 1 1063749600
120 10159 -1 1063749600
119 10165 0 1063749600
18 10117 1 1063749600
103 10173 1 1063749600
28 10107 0 1063836000
121 10129 1 1063836000
83 10118 1 1063922400
122 10135 1 1063922400
123 10143 0 1064008800
124 10135 0 1064095200
125 10178 1 1064181600
126 10178 1 1064268000
127 10137 0 1064268000
128 10179 -1 1064354400
83 10118 0 1064354400
120 10118 1 1064354400
129 10107 0 1064527200
128 10180 -1 1064527200
130 10123 1 1064527200
75 10147 1 1064613600
131 10169 0 1064700000
132 10181 0 1064700000
59 10182 0 1064700000
133 10183 0 1064786400
91 10172 1 1064959200
103 10184 0 1064959200
134 10182 0 1064959200
91 10118 1 1064959200
104 10150 1 1064959200
98 10108 1 1065045600
135 10128 0 1065045600
129 10150 0 1065045600
136 10108 0 1065132000
112 10123 1 1065132000
137 10128 1 1065132000
136 10147 0 1065132000
138 10185 1 1065218400
120 10118 1 1065218400
130 10135 1 1065218400
139 10128 1 1065218400
140 10157 0 1065304800
141 10186 0 1065304800
